airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,Command_fault,Command
61.559456,-315.701843,-314.508392,3.128193,-0.378048,3.128193,-0.378048,-309.999847,-310,18.667135,31.649588,4.98736,296.37207,96.964745,0.035985,-0.021351,21.020317,0.005414,0.06244,0.073605,0,1,, takeoff
62.431496,-315.675659,-314.482208,3.135086,-0.377545,3.135086,-0.377545,-309.999847,-310,18.693419,32.409412,5.164286,296.356079,97.487404,0.036818,-0.020521,12.519045,0.005401,0.062564,0.074612,0,1,, takeoff
62.97258,-315.659271,-314.46582,3.144076,-0.378931,3.144076,-0.378931,-309.999847,-310,18.7113,32.883247,5.949568,296.348602,97.804573,0.037746,-0.019723,21.21143,0.005393,0.062702,0.075412,0,1,, takeoff
63.817741,-315.632751,-314.439301,3.150552,-0.379375,3.150552,-0.379375,-309.999847,-310,18.741243,33.627136,6.025068,296.340363,98.283516,0.040421,-0.018041,18.725094,0.005413,0.062882,0.075786,0,1,, takeoff
64.380768,-315.614502,-314.421082,3.15385,-0.379605,3.15385,-0.379605,-309.999847,-310,18.761423,34.124531,6.082614,296.33606,98.587929,0.042689,-0.016878,16.098642,0.00542,0.063011,0.076198,0,1,, fly_strait
65.251022,-315.585632,-314.392212,3.157648,-0.367215,3.157648,-0.367215,-309.999847,-310,18.792913,34.893585,6.16957,296.250977,99.028854,0.040103,-0.029631,11.664444,0.005423,0.063077,0,0,1,, fly_strait
65.822296,-315.566498,-314.373047,3.155948,-0.36522,3.155948,-0.36522,-309.999847,-310,18.813553,35.393879,6.21,296.009247,99.293198,0.027847,-0.066915,11.163266,0.005246,0.063153,0.004254,0,1,, fly_strait
66.663681,-315.538055,-314.344604,3.14889,-0.378868,3.14889,-0.378868,-309.999847,-310,18.843859,36.125546,6.25609,295.453888,99.640228,-0.012157,-0.145973,17.103987,0.005217,0.063119,0.016341,0,1,, fly_strait
67.26857,-315.517395,-314.323975,3.140933,-0.401979,3.140933,-0.401979,-309.999847,-310,18.864941,36.649731,5.801783,294.985565,99.853867,-0.050854,-0.206393,12.327742,0.005412,0.062978,0.044109,0,1, set /instrumentation/heading-indicator/serviceable false, fly_strait
68.144188,-315.487915,-314.294464,3.131814,-0.439008,3.131814,-0.439008,-309.999847,-310,18.892441,37.407749,5.494389,294.981995,100.100632,-0.111844,-0.269776,21.356514,0.005743,0.062819,0.067525,0,1, set /instrumentation/heading-indicator/serviceable false, fly_strait
