airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle
92.501457,506.178802,507.372253,7.230096,4.290888,7.230096,4.290888,510.000153,510,614.27655,74.922981,1094.216431,300.378937,283.470642,0.148163,0.37323,1105.932495,-0.020389,0.144733,0.1,0,1
92.490196,509.840118,511.033539,7.226156,4.295119,7.226156,4.295119,510.000153,510,617.922241,74.922684,1093.271484,300.378937,283.67514,0.148082,0.373734,1104.815552,-0.02042,0.144644,0.1,0,1
92.470398,515.172852,516.366272,7.220076,4.299222,7.220076,4.299222,510.000153,510,623.233398,74.922073,1091.92749,300.378937,283.973877,0.147909,0.374447,1103.226074,-0.020453,0.144523,0.1,0,1
92.466225,518.972961,520.166382,7.21623,4.300951,7.21623,4.300951,520.000122,520,627.023132,74.921532,1091,300.378937,284.187653,0.147789,0.375015,1101.876709,-0.020468,0.144438,0.1,0,1
92.448555,524.446655,525.640076,7.21033,4.302523,7.21033,4.302523,520.000122,520,632.474854,74.920616,1089.722046,300.378906,284.495911,0.14757,0.375942,1100.456909,-0.020481,0.144325,0.1,0,1
92.438972,528.089722,529.283203,7.206849,4.303411,7.206849,4.303411,530.000122,530,636.105835,74.919937,1088.90625,300.378876,284.701721,0.147511,0.376629,1099.42041,-0.020486,0.144244,0.1,0,1
92.425819,533.392944,534.586365,7.201592,4.305295,7.201592,4.305295,530.000122,530,641.39624,74.918869,1087.771484,300.378876,285.002258,0.147537,0.377624,1097.755737,-0.020492,0.144137,0.1,0,1
92.416992,537.02478,538.218262,7.198461,4.307059,7.198461,4.307059,540.000122,540,645.020874,74.918091,1087.036499,300.476318,285.208618,0.147606,0.378248,1096.638428,-0.020498,0.144063,0.1,0,1
92.402931,542.623779,543.8172,7.193324,4.310041,7.193324,4.310041,540.000122,540,650.604187,74.91684,1085.963379,300.82959,285.5271,0.147656,0.379046,1095.315674,-0.02051,0.143969,0.1,0,1
92.394936,546.252258,547.445679,7.190368,4.311848,7.190368,4.311848,550.000122,550,654.2229,74.916,1085.295532,301.058502,285.733917,0.147678,0.379463,1094.489136,-0.02052,0.143898,0.1,0,1
